coach_username,post_shortcode,post_type,likes,comments,timestamp,caption_length,has_cta,content_category,is_reel
sencillo_fit,DV3i8dTkXcY,Video,76,24,2026-03-14T14:17:47.000Z,103,False,lifestyle,False
prohestia_,DVlmIFoDa_M,Video,-1,3,2026-03-07T15:01:12.000Z,142,False,promotion,False
sencillo_fit,DVkAaQNESgs,Video,712,35,2026-03-07T00:12:08.000Z,48,False,lifestyle,False
sencillo_fit,DVowTauEplU,Video,28,10,2026-03-08T20:27:47.000Z,297,False,lifestyle,False
sencillo_fit,DV0x1L-kXlP,Video,26,7,2026-03-13T12:33:16.000Z,40,False,lifestyle,False
sencillo_fit,DV1550jEbPf,Video,39,32,2026-03-13T23:01:25.000Z,15,False,lifestyle,False
beto_ifbbpro,DSi58dRjkI6,Video,-1,3,2025-12-22T00:25:33.000Z,200,False,workout,False
beto_ifbbpro,DSJAXUaAZew,Video,-1,5,2025-12-11T23:01:56.000Z,6,False,lifestyle,False
prohestia_,DUCOraqDK_j,Sidecar,109,13,2026-01-28T00:49:19.000Z,403,False,lifestyle,False
arielmv_coach,C5cVxznNQaL,Image,10,0,2024-04-07T02:03:58.000Z,127,False,lifestyle,False
flacofit.rd,DVyX3V5jT1h,Video,1,0,2026-03-12T14:09:34.000Z,47,False,lifestyle,False
runners_hardtraining,DV4qmNckVx7,Video,32,2,2026-03-15T00:44:30.000Z,78,False,lifestyle,False
_hardtraining_,DU6_Xn9je2H,Image,95,3,2026-02-19T02:00:30.000Z,974,False,promotion,False
cirujano_fitness,DV8hyy3kSDx,Image,251,44,2026-03-16T12:59:24.000Z,30,False,lifestyle,False
ama2r_,DTiejhWADDi,Video,37,13,2026-01-15T16:56:05.000Z,183,False,workout,False
teamsabatino_047,DV3bItllmwU,Sidecar,46,23,2026-03-14T13:09:19.000Z,235,False,workout,False
teamsabatino_047,DTtiWPcjaTm,Sidecar,89,29,2026-01-19T23:57:08.000Z,421,True,lifestyle,False
cirujano_fitness,DV6N56fERov,Video,309,24,2026-03-15T15:15:27.000Z,279,True,lifestyle,False
gustavo_dipres,DO2SRGuDY9_,Sidecar,311,71,2025-09-21T02:52:49.000Z,1063,False,testimonial,False
jc_simo,DV3tUt2jczD,Image,3773,172,2026-03-14T16:07:13.000Z,1260,False,testimonial,False
anthonypthebeast,DVg71Wxiel8,Sidecar,24,1,2026-03-05T19:32:30.000Z,925,False,testimonial,False
beto_ifbbpro,DRxyLfJgURr,Video,-1,5,2025-12-02T23:02:42.000Z,57,False,lifestyle,False
antonio.gomezportela,DVzaP1AgGQ5,Video,335,206,2026-03-12T23:47:39.000Z,40,False,lifestyle,False
epfitnesstudio.rd,DQJraPMjbM1,Video,11,0,2025-10-23T12:11:06.000Z,141,False,lifestyle,False
cirujano_fitness,DVyzDMsEaNe,Video,92,11,2026-03-12T18:05:50.000Z,281,False,lifestyle,False
sencillo_fit,DVgHoN0kR9L,Video,59,32,2026-03-05T11:59:03.000Z,353,False,lifestyle,False
coachnathanaelrodriguez,DCKfeKyS_3I,Sidecar,348,75,2024-11-09T20:24:53.000Z,1572,False,testimonial,False
rdenfoco,DV3sIUygUyy,Video,92,3,2026-03-14T15:39:05.000Z,470,False,lifestyle,False
eduarny04,DV4qPX6kU6s,Image,49,5,2026-03-15T00:40:35.000Z,63,False,lifestyle,False
teamsabatino_047,DVlXlS3lg8z,Sidecar,81,11,2026-03-07T12:51:56.000Z,199,False,workout,False
locurafitnessrd,DVvnAqiDb6P,Video,17,2,2026-03-11T12:20:21.000Z,75,False,lifestyle,False
coachnathanaelrodriguez,DVyoGy7DD_h,Video,135,5,2026-03-12T16:30:34.000Z,325,False,nutrition,False
teamsabatino_047,DVqywUnCRRj,Video,84,22,2026-03-09T15:31:37.000Z,294,False,lifestyle,False
exclusive_training_center,DE8z0Yht3su,Video,202,5,2025-01-18T02:44:54.000Z,1804,False,testimonial,False
teamsabatino_047,DVwBnjbFkZT,Sidecar,109,50,2026-03-11T16:11:39.000Z,862,True,testimonial,False
